MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder
0.092201,1.610908,2.312635,-0.084769,0
0.114509,1.737226,2.248865,-0.147983,0
0.101762,1.326693,2.34452,0.484165,0
0.089014,1.48459,2.408291,-0.147983,0
0.101762,1.674067,2.121324,-0.30602,0
0.130443,1.674067,2.21698,-0.084769,0
0.130443,1.768806,2.28075,-0.147983,0
0.127256,1.579329,2.248865,-0.242806,0
0.120883,1.768806,2.440176,4.845986,0
0.06352,1.51617,2.21698,3.075971,0
0.089014,1.610908,2.057554,-0.053161,0
0.066707,1.579329,2.089439,-0.179591,0
0.025278,1.547749,1.993783,-0.211198,0
0.034839,1.579329,2.089439,-0.179591,0
0.050773,1.831965,2.28075,0.041661,0
0.066707,3.663576,2.408291,-0.053161,0
0.098575,1.831965,2.34452,0.041661,0
0.120883,1.800385,2.312635,-0.053161,0
0.130443,1.705647,2.21698,-0.938168,0
0.117696,1.958283,2.089439,-0.179591,0
0.079454,1.51617,2.34452,-0.116376,0
0.117696,1.800385,2.408291,-0.147983,0
0.108135,0.821421,2.185094,-0.211198,0
0.108135,1.421431,3.396732,-0.021554,0
0.089014,1.610908,2.376406,-0.147983,0
0.114509,3.284622,2.185094,-0.116376,0
0.146377,1.610908,2.248865,-0.147983,0
0.117696,1.579329,2.248865,-0.211198,0
0.098575,1.547749,2.21698,-0.274413,0
0.07308,1.579329,2.21698,-0.242806,0
0.104948,1.358272,2.185094,-0.337628,0
0.060333,3.631996,2.089439,-0.400843,0
0.07308,1.547749,2.057554,-0.147983,0
0.044399,1.579329,2.025668,-0.179591,0
0.018905,1.863544,2.312635,-0.337628,0
0.089014,1.958283,2.312635,0.041661,0
0.095388,1.800385,2.34452,0.010054,0
0.117696,1.737226,2.376406,0.073268,0
0.101762,5.653084,2.185094,-0.179591,0
0.130443,1.642488,2.21698,-0.179591,0
0.104948,1.642488,2.408291,-0.147983,0
0.104948,1.958283,2.185094,-0.116376,0
0.114509,1.453011,2.34452,-0.211198,0
0.108135,1.453011,2.248865,-0.147983,0
0.098575,1.642488,2.34452,-0.116376,0
0.140003,1.642488,2.185094,-0.053161,0
0.13363,1.51617,2.121324,3.170794,0
0.136817,1.610908,2.185094,-0.179591,0
0.089014,1.610908,2.28075,-0.179591,0
0.07308,1.642488,2.153209,-0.179591,0
0.13363,1.863544,2.408291,3.297223,0
0.079454,1.642488,2.121324,-0.211198,0
0.057146,1.610908,1.834357,-0.179591,0
0.404509,2.14776,3.651814,2.917934,0
0.031652,1.831965,2.886569,-0.053161,0
0.089014,2.053021,2.535832,0.073268,0
0.089014,1.800385,2.503946,0.010054,0
0.127256,1.737226,2.34452,0.010054,0
0.089014,1.674067,2.248865,-0.116376,0
0.124069,1.737226,2.21698,-0.179591,0
0.120883,1.642488,2.28075,-0.147983,0
0.111322,1.705647,2.28075,-0.179591,0
0.104948,2.968827,2.28075,-0.43245,0
0.092201,1.610908,2.408291,-0.30602,0
0.002971,-0.125964,2.21698,4.940808,0
0.136817,1.674067,2.21698,-0.084769,0
0.120883,1.579329,2.248865,-0.179591,0
0.13363,1.610908,2.185094,-0.242806,0
0.108135,1.51617,2.248865,-0.211198,0
0.082641,1.547749,2.21698,-0.116376,0
0.066707,1.642488,2.089439,-0.211198,0
0.082641,1.642488,2.121324,-0.147983,0
0.076267,1.642488,2.248865,-0.179591,0
0.031652,1.547749,2.025668,-0.211198,0
0.047586,6.695208,2.248865,0.010054,0
0.085828,1.926703,2.440176,0.104876,0
0.085828,1.831965,2.28075,0.010054,0
0.101762,1.737226,2.312635,-0.053161,0
0.098575,1.674067,2.248865,-0.147983,0
0.117696,1.547749,2.089439,0.073268,0
