MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,
0.098575,0.505626,2.089439,-0.147983,0,,
0.111322,0.537205,2.121324,-0.179591,0,,
0.127256,0.600364,2.185094,-0.116376,0,,
0.098575,0.442467,2.153209,-0.464057,0,,
0.082641,0.600364,2.057554,-0.179591,0,,
0.092201,1.768806,2.21698,-0.147983,0,,
0.162311,1.105636,2.248865,-0.242806,0,,
-0.022524,0.410887,2.950339,-0.30602,0,,
0.120883,0.631944,2.185094,-0.179591,0,,
0.092201,0.600364,2.121324,-0.179591,0,,
0.117696,0.789841,2.440176,3.139186,0,,
0.082641,1.48459,1.930013,-0.242806,0,,
0.07308,0.631944,2.089439,-0.179591,0,,
0.079454,0.695103,2.057554,-0.179591,0,,
0.044399,0.663523,2.34452,-0.147983,0,,
0.130443,0.916159,2.472061,0.073268,0,,
0.07308,0.789841,2.376406,0.073268,0,,
0.101762,0.821421,2.248865,0.041661,0,,
0.111322,0.726682,2.21698,-0.021554,0,,
0.146377,0.821421,2.790913,-0.337628,0,,
0.114509,0.537205,2.185094,-0.211198,0,,
0.136817,0.695103,2.21698,-0.116376,0,,
0.069894,0.316149,2.312635,0.484165,0,,
0.092201,0.442467,2.28075,-0.179591,0,,
0.108135,0.379308,2.153209,-0.179591,0,,
0.124069,0.631944,2.185094,-0.084769,0,,
0.136817,0.600364,2.185094,-0.147983,0,,
0.124069,4.232007,2.312635,0.010054,0,,
0.146377,0.947739,2.185094,1.116313,0,,
0.079454,0.568785,2.34452,-0.179591,0,,
0.082641,0.600364,2.089439,0.768631,0,,
-0.038458,-0.852293,5.660581,-0.400843,0,,
0.060333,0.663523,2.025668,-0.211198,0,,
0.050773,0.663523,2.025668,-0.179591,0,,
0.050773,0.663523,2.185094,-0.147983,0,,
0.044399,1.042477,2.472061,0.104876,0,,
0.085828,0.916159,0.558949,0.041661,0,,
0.117696,1.200375,2.28075,0.073268,0,,
0.117696,0.789841,2.28075,0.041661,0,,
0.124069,0.631944,2.153209,-0.084769,0,,
0.104948,0.568785,1.674931,-0.147983,0,,
0.101762,0.600364,2.312635,-0.211198,0,,
0.095388,0.600364,2.248865,-0.211198,0,,
0.117696,0.568785,2.472061,-0.147983,0,,
0.082641,0.410887,2.21698,-0.211198,0,,
0.108135,0.568785,3.269191,-0.021554,0,,
0.149564,0.600364,2.153209,-0.021554,0,,
0.127256,0.821421,2.21698,-0.874954,0,,
0.104948,0.568785,2.472061,-0.211198,0,,
0.085828,0.695103,2.153209,-0.084769,0,,
0.07308,0.537205,2.089439,-0.211198,0,,
0.069894,0.600364,2.376406,-0.179591,0,,
0.06352,0.568785,2.057554,-0.179591,0,,
0.006157,0.821421,4.130092,0.578987,0,,
0.066707,0.695103,2.089439,1.305957,0,,
0.07308,1.010898,2.440176,0.104876,0,,
0.111322,0.88458,2.376406,0.041661,0,,
0.092201,0.758262,2.248865,0.010054,0,,
0.111322,0.726682,2.28075,0.073268,0,,
0.076267,0.568785,2.121324,-0.116376,0,,
0.117696,0.631944,2.185094,-0.116376,0,,
0.130443,0.505626,2.185094,-0.211198,0,,
0.114509,0.600364,2.376406,-0.242806,0,,
0.117696,0.568785,2.312635,-0.147983,0,,
0.082641,0.537205,2.312635,-0.179591,0,,
0.468245,2.526714,4.130092,2.064535,0,,
0.14319,0.505626,2.21698,-0.211198,0,,
0.140003,0.600364,2.21698,-0.179591,0,,
0.095388,0.379308,2.886569,-0.211198,0,,
0.076267,0.537205,2.153209,-0.147983,0,,
0.069894,0.568785,2.089439,-0.211198,0,,
0.104948,0.600364,2.089439,-0.147983,0,,
0.047586,2.463555,2.025668,-0.179591,0,,
0.053959,0.663523,2.025668,-0.30602,0,,
0.060333,0.726682,2.376406,-0.053161,0,,
0.076267,0.916159,2.472061,0.041661,0,,
0.066707,0.789841,2.408291,0.041661,0,,
0.108135,0.789841,2.376406,0.073268,0,,
0.124069,0.821421,2.248865,0.010054,0,,
