MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder
0.092201,0.22141,2.089439,-0.211198,0
0.108135,0.063513,2.408291,-0.211198,0
0.098575,0.095092,2.312635,-0.116376,0
0.092201,0.158251,2.21698,-0.369235,0
0.079454,0.063513,2.248865,-0.053161,0
0.13363,0.126672,2.153209,-0.053161,0
0.053959,-0.031226,2.185094,-0.147983,0
0.076267,0.095092,2.185094,2.349001,0
0.069894,0.126672,2.21698,-0.242806,0
0.069894,0.063513,2.121324,-0.179591,0
0.130443,0.158251,2.121324,-0.242806,0
0.06352,2.053021,2.025668,-0.179591,0
-0.044832,-0.220703,1.738702,-0.43245,0
0.050773,0.095092,1.993783,-0.211198,0
0.015718,0.25299,2.28075,-0.053161,0
0.025278,0.347728,2.503946,0.041661,0
0.079454,0.379308,2.34452,0.041661,0
0.111322,0.25299,2.312635,0.041661,0
0.104948,0.158251,2.153209,-0.053161,0
0.117696,0.095092,2.185094,-0.147983,0
0.108135,0.000354,4.034436,-0.400843,0
0.124069,0.189831,2.185094,-0.084769,0
0.108135,-0.031226,2.21698,-0.274413,0
0.089014,0.000354,2.408291,-0.30602,0
0.079454,0.126672,2.440176,-0.147983,0
0.127256,0.095092,2.057554,-0.147983,0
0.13363,0.095092,2.089439,0.073268,0
0.07308,2.526714,2.663372,-0.622094,0
0.140003,0.126672,5.309844,-0.464057,0
0.085828,0.189831,2.089439,-0.211198,0
0.07308,0.189831,2.089439,-0.400843,0
0.038025,0.063513,2.025668,-0.30602,0
0.057146,0.095092,4.289518,-0.369235,0
0.022091,0.031933,2.057554,-0.211198,0
0.050773,0.22141,5.756237,2.254179,0
0.053959,0.410887,2.440176,-0.021554,0
0.085828,0.316149,2.312635,-0.021554,0
0.085828,0.158251,2.312635,0.041661,0
0.092201,0.095092,2.121324,1.87489,0
0.092201,0.095092,2.089439,-0.211198,0
0.108135,0.063513,2.248865,-0.021554,0
0.101762,0.063513,2.312635,-0.179591,0
0.114509,0.158251,2.248865,-0.242806,0
0.14319,0.316149,2.21698,-0.590487,0
0.079454,3.663576,2.440176,0.041661,0
0.095388,-0.062805,2.21698,-0.116376,0
0.140003,3.663576,2.34452,-0.021554,0
0.286597,0.000354,2.376406,-0.021554,0
0.098575,0.126672,2.248865,-0.30602,0
0.082641,1.010898,2.185094,-0.179591,0
0.085828,0.126672,2.153209,-0.179591,0
