MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
0.117696,0.821421,2.28075,-0.179591,0,,,
0.117696,0.916159,2.248865,-0.147983,0,,,
0.079454,0.789841,2.21698,-0.337628,0,,,
0.124069,1.105636,2.153209,-0.116376,0,,,
0.159124,1.200375,2.312635,3.486868,0,,,
0.117696,0.88458,2.312635,-0.179591,0,,,
0.124069,1.010898,2.28075,-0.179591,0,,,
0.06352,0.88458,2.089439,-0.116376,0,,,
0.034839,2.653032,2.121324,-0.242806,0,,,
0.092201,0.947739,2.153209,1.527209,0,,,
0.057146,1.010898,2.057554,-0.211198,0,,,
0.095388,1.200375,3.619928,-0.211198,0,,,
0.025278,1.042477,2.121324,-0.147983,0,,,
0.066707,1.610908,2.376406,0.041661,0,,,
0.089014,1.263534,2.440176,0.010054,0,,,
0.14319,1.137216,2.312635,0.073268,0,,,
0.104948,1.074057,2.312635,-0.116376,0,,,
0.095388,0.947739,2.28075,-0.147983,0,,,
0.124069,0.853,2.153209,-0.211198,0,,,
0.124069,1.042477,2.153209,-0.55888,0,,,
0.117696,0.600364,2.185094,-0.274413,0,,,
0.089014,0.88458,2.057554,-0.274413,0,,,
0.092201,0.88458,2.153209,-0.116376,0,,,
0.299344,1.989862,2.472061,-0.55888,0,,,
0.152751,0.947739,2.248865,-0.116376,0,,,
0.117696,0.88458,2.21698,-0.179591,0,,,
0.082641,0.789841,2.153209,1.780068,0,,,
0.181432,1.074057,2.185094,-0.084769,0,,,
0.053959,2.11618,4.448944,-0.053161,0,,,
0.066707,0.821421,2.089439,-0.179591,0,,,
0.060333,0.947739,2.34452,-0.179591,0,,,
0.044399,0.947739,2.057554,-0.274413,0,,,
0.060333,1.042477,2.153209,-0.242806,0,,,
0.015718,1.074057,2.472061,-0.021554,0,,,
0.089014,1.231954,2.440176,-0.400843,0,,,
0.136817,0.88458,2.440176,0.073268,0,,,
0.117696,1.168795,2.440176,0.010054,0,,,
0.082641,0.88458,2.21698,-0.147983,0,,,
0.20374,1.642488,1.802472,-0.653702,0,,,
0.104948,0.916159,2.121324,-0.274413,0,,,
0.130443,4.04253,2.631487,-0.274413,0,,,
0.085828,0.916159,2.248865,-0.179591,0,,,
0.101762,0.947739,2.312635,-0.464057,0,,,
0.07308,1.042477,2.472061,-0.053161,0,,,
0.117696,1.705647,2.121324,-0.179591,0,,,
0.104948,0.916159,2.28075,-0.179591,0,,,
0.095388,0.916159,2.121324,-0.211198,0,,,
0.089014,0.947739,2.21698,-0.211198,0,,,
0.060333,2.021442,2.185094,-0.211198,0,,,
0.047586,0.947739,2.153209,-0.242806,0,,,
0.053959,0.947739,2.089439,-0.274413,0,,,
0.044399,0.947739,2.057554,-0.179591,0,,,
0.047586,0.88458,2.057554,0.168091,0,,,
0.031652,1.168795,2.28075,0.010054,0,,,
0.085828,1.263534,2.408291,0.610594,0,,,
