MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,,,
0.114509,1.231954,2.312635,-0.021554,0,,,,,
0.108135,1.074057,2.34452,0.041661,0,,,,,
0.120883,1.010898,2.153209,-0.116376,0,,,,,
0.098575,0.916159,2.057554,-0.242806,0,,,,,
0.079454,0.88458,2.21698,-0.179591,0,,,,,
0.092201,1.074057,2.185094,-0.147983,0,,,,,
0.092201,1.042477,2.057554,-0.30602,0,,,,,
0.092201,0.947739,2.312635,-0.369235,0,,,,,
0.089014,1.042477,2.34452,-0.147983,0,,,,,
0.226047,1.51617,2.025668,0.29452,0,,,,,
0.104948,5.179392,2.21698,-0.369235,0,,,,,
0.104948,0.947739,2.21698,-0.211198,0,,,,,
0.117696,1.105636,2.312635,-0.211198,0,,,,,
0.053959,0.916159,2.185094,-0.179591,0,,,,,
0.047586,1.042477,2.089439,-0.147983,0,,,,,
0.079454,2.77935,2.057554,-0.242806,0,,,,,
0.050773,1.074057,1.993783,-0.622094,0,,,,,
0.104948,1.389852,4.002551,0.104876,0,,,,,
0.038025,1.231954,2.472061,-0.053161,0,,,,,
0.076267,1.389852,2.408291,0.041661,0,,,,,
0.114509,1.295113,2.376406,2.665075,0,,,,,
0.089014,1.200375,2.376406,0.041661,0,,,,,
0.66264,1.989862,2.854684,0.29452,0,,,,,
0.104948,0.979318,2.121324,-0.179591,0,,,,,
0.076267,0.88458,2.248865,-0.147983,0,,,,,
0.108135,0.853,2.153209,-0.337628,0,,,,,
0.079454,0.88458,1.292309,-0.274413,0,,,,,
0.117696,1.010898,2.312635,-0.179591,0,,,,,
0.095388,1.042477,2.408291,-0.242806,0,,,,,
0.111322,1.042477,2.21698,-0.179591,0,,,,,
0.101762,0.916159,2.21698,0.737024,0,,,,,
0.108135,1.263534,2.408291,-0.242806,0,,,,,
0.089014,1.010898,2.248865,-0.179591,0,,,,,
0.06352,4.516222,2.185094,0.010054,0,,,,,
0.07308,1.042477,2.057554,-0.147983,0,,,,,
0.057146,1.010898,1.834357,-0.242806,0,,,,,
0.009344,0.947739,2.025668,-0.242806,0,,,,,
0.018905,0.726682,2.025668,-0.369235,0,,,,,
0.018905,1.200375,2.34452,0.041661,0,,,,,
0.053959,1.295113,2.408291,0.041661,0,,,,,
0.101762,1.295113,2.312635,-0.053161,0,,,,,
0.127256,1.168795,2.34452,0.041661,0,,,,,
0.079454,1.074057,2.21698,-0.084769,0,,,,,
0.076267,0.947739,2.185094,-0.147983,0,,,,,
0.104948,1.010898,2.21698,-0.179591,0,,,,,
0.095388,0.947739,2.21698,0.389342,0,,,,,
0.117696,0.88458,2.376406,-0.242806,0,,,,,
-0.012964,0.88458,2.408291,-0.30602,0,,,,,
0.07308,1.042477,2.121324,-0.147983,0,,,,,
0.098575,0.979318,2.790913,-0.116376,0,,,,,
0.101762,0.88458,2.28075,0.389342,0,,,,,
0.098575,0.979318,2.185094,-0.242806,0,,,,,
-0.054392,0.695103,5.182303,-1.096205,0,,,,,
